# Data file created with Moltemplate, Ovito, LAMMPS 19-August-2022

724 atoms
1 atom types
0 29.51414577 xlo xhi
0 29.82000001 ylo yhi
0 55 zlo zhi

Atoms # full

5 1 1 0 1.2297560734 0 0 0 0 0
1 1 1 0 0 0.71 0 0 0 0
2 1 1 0 0 2.13 0 0 0 0
6 1 1 0 1.2297560734 2.84 0 0 0 0
13 2 1 0 3.6892682201 0 0 0 0 0
9 2 1 0 2.4595121467 0.71 0 0 0 0
10 2 1 0 2.4595121467 2.13 0 0 0 0
14 2 1 0 3.6892682201 2.84 0 0 0 0
17 3 1 0 4.9190242935 0.71 0 0 0 0
18 3 1 0 4.9190242935 2.13 0 0 0 0
7 15 1 0 1.2297560734 4.26 0 0 0 0
3 15 1 0 0 4.97 0 0 0 0
15 16 1 0 3.6892682201 4.26 0 0 0 0
11 16 1 0 2.4595121467 4.97 0 0 0 0
19 17 1 0 4.9190242935 4.97 0 0 0 0
21 3 1 0 6.1487803669 0 0 0 0 0
22 3 1 0 6.1487803669 2.84 0 0 0 0
29 4 1 0 8.6082925136 0 0 0 0 0
25 4 1 0 7.3785364402 0.71 0 0 0 0
26 4 1 0 7.3785364402 2.13 0 0 0 0
30 4 1 0 8.6082925136 2.84 0 0 0 0
37 5 1 0 11.0678046604 0 0 0 0 0
33 5 1 0 9.838048587 0.71 0 0 0 0
34 5 1 0 9.838048587 2.13 0 0 0 0
38 5 1 0 11.0678046604 2.84 0 0 0 0
23 17 1 0 6.1487803669 4.26 0 0 0 0
31 18 1 0 8.6082925136 4.26 0 0 0 0
27 18 1 0 7.3785364402 4.97 0 0 0 0
39 19 1 0 11.0678046604 4.26 0 0 0 0
35 19 1 0 9.838048587 4.97 0 0 0 0
45 6 1 0 13.5273168071 0 0 0 0 0
41 6 1 0 12.2975607337 0.71 0 0 0 0
42 6 1 0 12.2975607337 2.13 0 0 0 0
46 6 1 0 13.5273168071 2.84 0 0 0 0
53 7 1 0 15.9868289539 0 0 0 0 0
49 7 1 0 14.7570728805 0.71 0 0 0 0
50 7 1 0 14.7570728805 2.13 0 0 0 0
54 7 1 0 15.9868289539 2.84 0 0 0 0
57 8 1 0 17.2165850272 0.71 0 0 0 0
58 8 1 0 17.2165850272 2.13 0 0 0 0
47 20 1 0 13.5273168071 4.26 0 0 0 0
43 20 1 0 12.2975607337 4.97 0 0 0 0
55 21 1 0 15.9868289539 4.26 0 0 0 0
51 21 1 0 14.7570728805 4.97 0 0 0 0
59 22 1 0 17.2165850272 4.97 0 0 0 0
61 8 1 0 18.4463411006 0 0 0 0 0
62 8 1 0 18.4463411006 2.84 0 0 0 0
69 9 1 0 20.9058532474 0 0 0 0 0
65 9 1 0 19.676097174 0.71 0 0 0 0
66 9 1 0 19.676097174 2.13 0 0 0 0
70 9 1 0 20.9058532474 2.84 0 0 0 0
77 10 1 0 23.3653653941 0 0 0 0 0
73 10 1 0 22.1356093207 0.71 0 0 0 0
74 10 1 0 22.1356093207 2.13 0 0 0 0
78 10 1 0 23.3653653941 2.84 0 0 0 0
63 22 1 0 18.4463411006 4.26 0 0 0 0
71 23 1 0 20.9058532474 4.26 0 0 0 0
67 23 1 0 19.676097174 4.97 0 0 0 0
79 24 1 0 23.3653653941 4.26 0 0 0 0
75 24 1 0 22.1356093207 4.97 0 0 0 0
85 11 1 0 25.8248775409 0 0 0 0 0
81 11 1 0 24.5951214675 0.71 0 0 0 0
82 11 1 0 24.5951214675 2.13 0 0 0 0
86 11 1 0 25.8248775409 2.84 0 0 0 0
93 12 1 0 28.2843896876 0 0 0 0 0
89 12 1 0 27.0546336142 0.71 0 0 0 0
90 12 1 0 27.0546336142 2.13 0 0 0 0
94 12 1 0 28.2843896876 2.84 0 0 0 0
97 13 1 0 29.514145761 0.71 0 0 0 0
98 13 1 0 29.514145761 2.13 0 0 0 0
87 25 1 0 25.8248775409 4.26 0 0 0 0
83 25 1 0 24.5951214675 4.97 0 0 0 0
95 26 1 0 28.2843896876 4.26 0 0 0 0
91 26 1 0 27.0546336142 4.97 0 0 0 0
99 27 1 0 29.514145761 4.97 0 0 0 0
4 15 1 0 0 6.39 0 0 0 0
8 15 1 0 1.2297560734 7.1 0 0 0 0
12 16 1 0 2.4595121467 6.39 0 0 0 0
16 16 1 0 3.6892682201 7.1 0 0 0 0
